TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST3_Psy_Js_1,GBR_GUI_ST3_Psy_Js_2,GBR_GUI_ST3_Psy_Js_3,GBR_GUI_ST3_Psy_Js_4,GBR_GUI_ST3_Psy_Js_5,GBR_GUI_ST3_Psy_Js_6,GBR_GUI_ST3_Psy_Js_7,GBR_GUI_ST3_Psy_Js_8
2003-05-26T23:30:00Z,2003-05-26T23:13:11Z,5.5150257754875e-4,1.0757917950260074e-4,4.4211362985164057e-4,3.401505138290555e-4,9.314871516609024e-5,5.895445185597993e-4,3.4500250425148975e-4,2.0049251379571312e-4
2003-05-26T23:45:00Z,2003-05-26T23:28:11Z,5.242093245987152e-4,8.796901401769964e-5,4.127815152677291e-4,3.1216186850658217e-4,1.471603191641543e-4,6.26372113160555e-4,2.3442940127637031e-4,1.5882980470966555e-4
2003-05-27T00:00:00Z,2003-05-26T23:43:11Z,6.196031997288804e-4,9.369442172334541e-5,5.110810585041051e-4,4.319583970788969e-4,1.55800096911501e-4,9.292795662079492e-4,3.589190155479896e-4,1.9775979893299364e-4
2003-05-27T00:15:00Z,2003-05-26T23:58:11Z,6.129461085910374e-4,7.942112503188376e-5,4.718680098238963e-4,4.020770806882992e-4,1.5091261988546244e-4,7.911588200604985e-4,3.3917608025911864e-4,2.1804762676350163e-4
2003-05-27T00:30:00Z,2003-05-27T00:13:03Z,5.775792016272864e-4,1.0302332171438208e-4,4.947792248228993e-4,3.764742742185501e-4,2.208618210269748e-4,7.553441391754632e-4,3.559189526057328e-4,2.9029103142122107e-4
2003-05-27T00:45:00Z,2003-05-27T00:28:03Z,5.782669378870606e-4,8.417608606373032e-5,4.1986329354250533e-4,3.4601958885091105e-4,8.748229319318298e-5,8.210711835058198e-4,3.57353693549941e-4,2.1047426260462033e-4
2003-05-27T01:00:00Z,2003-05-27T00:43:03Z,5.581450999118875e-4,7.067346276188378e-5,3.676320693111177e-4,3.408371112117975e-4,1.448804446306349e-4,6.497776899965145e-4,2.5564836549196626e-4,8.121957346982745e-5
2003-05-27T01:15:00Z,2003-05-27T00:58:03Z,5.362222854719311e-4,8.521948765859162e-5,3.439422409712852e-4,3.767711358375396e-4,2.990146059508279e-4,6.909431141685909e-4,3.5246480576928336e-4,6.18929152625063e-6
2003-05-27T01:30:00Z,2003-05-27T01:13:03Z,5.403530924193704e-4,6.743043095426385e-5,3.513684040508564e-4,3.1686333739866914e-4,1.54486671601642e-4,7.556137321979368e-4,3.337617490009643e-4,9.917477468995345e-5
2003-05-27T01:45:00Z,2003-05-27T01:28:03Z,5.524732834634718e-4,6.258777384547333e-5,3.138920371863515e-4,3.135652253355863e-4,1.94753133999583e-4,6.62677689848377e-4,2.4238621247799988e-4,6.216591179835118e-5
2003-05-27T02:00:00Z,2003-05-27T01:43:03Z,4.788240643074401e-4,4.798435321323275e-5,2.672671238789767e-4,3.109207088481245e-4,1.3402569760334983e-4,6.240897538355469e-4,1.1759243106979628e-4,1.89931401104338e-4
2003-05-27T02:15:00Z,2003-05-27T01:58:03Z,4.641604598574652e-4,5.448752020260819e-5,2.636196082873477e-4,2.830346931126482e-4,1.1728275036099664e-4,4.636159555702308e-4,1.2155394339465271e-4,6.962059788346088e-5
2003-05-27T02:30:00Z,2003-05-27T02:13:03Z,4.380119506266956e-4,3.731473447448432e-5,2.3427950668437523e-4,2.5522411797284457e-4,9.56821419242639e-5,5.546067905359149e-4,1.4210368638207447e-4,1.1292590811139604e-4
2003-05-27T02:45:00Z,2003-05-27T02:28:03Z,4.3344982737884656e-4,3.9985974574650653e-5,2.766013226932893e-4,2.2902023062420146e-4,8.899342655580987e-5,5.25737048382807e-4,1.8456644511799104e-4,1.1153118710517457e-4
2003-05-27T03:00:00Z,2003-05-27T02:43:03Z,3.578191078349395e-4,3.312257660902733e-5,2.57696552691334e-4,2.0774697227558928e-4,6.808133893928065e-5,4.6364552564519214e-4,1.947793402787162e-4,8.715147824800051e-5
2003-05-27T03:15:00Z,2003-05-27T02:58:03Z,3.000043438414267e-4,3.380511042188206e-5,2.2348483114723855e-4,1.8224777415365336e-4,4.544221758108266e-5,4.624430619933432e-4,1.1799498235736938e-4,1.3581357405192205e-4
2003-05-27T03:30:00Z,2003-05-27T03:13:03Z,2.978197338102765e-4,1.947936283666439e-5,2.164673911926088e-4,1.5363937663407198e-4,7.136458266053774e-6,2.699755167632004e-4,6.276955409910328e-5,1.0883767322332637e-4
2003-05-27T03:45:00Z,2003-05-27T03:28:03Z,2.4295047256528906e-4,3.352568672642065e-5,1.536618193580869e-4,1.5526868100953394e-4,6.503341299023717e-5,2.2076682303868281e-4,1.3523341279881847e-4,3.146838713757084e-5
2003-05-27T04:00:00Z,2003-05-27T03:43:03Z,2.070487852431695e-4,1.0824942558578693e-5,1.277368781733103e-4,1.1088203740635252e-4,9.683634041604474e-5,2.639009607724176e-4,7.078820375635492e-5,4.749256687061809e-5
2003-05-27T04:15:00Z,2003-05-27T03:58:03Z,1.8245142300298052e-4,2.3952552681944942e-5,9.745636470602342e-5,1.3625442497985967e-4,5.127176208736376e-5,2.3600145859641852e-4,1.0839863105394405e-4,1.339153165369679e-4
2003-05-27T04:30:00Z,2003-05-27T04:13:03Z,1.5585085781257054e-4,2.4403946406599844e-5,6.608183860447944e-5,6.496637200700464e-5,1.7137966650129286e-4,1.40690301622717e-4,7.165770011327287e-5,3.038583995123036e-5
2003-05-27T04:45:00Z,2003-05-27T04:28:03Z,1.283477988739879e-4,2.5906348977175078e-5,3.859230522348522e-5,8.533157413641911e-5,4.535459162508029e-5,1.1710657746946054e-4,3.872971921215678e-5,0
2003-05-27T05:00:00Z,2003-05-27T04:43:03Z,9.911069065381813e-5,1.5548095673191416e-5,1.3713013540729548e-5,6.228606183575138e-5,7.948337696249946e-5,1.5540994784194647e-4,6.958545296270657e-5,3.930007008012075e-5
2003-05-27T05:15:00Z,2003-05-27T04:58:03Z,7.448873723506729e-5,5.619671026363839e-6,1.6575294921646783e-5,6.323116850848735e-5,3.159407982577429e-5,1.53693082753889e-4,2.7010000631228635e-5,1.9904830601419286e-5
2003-05-27T05:30:00Z,2003-05-27T05:13:03Z,3.8624063950726945e-5,0,4.450957568767114e-7,4.17877361526023e-5,3.35150164180725e-5,1.775874700219065e-4,2.595800491714123e-5,1.1027067794662299e-5
2003-05-27T05:45:00Z,2003-05-27T05:28:03Z,2.3199887518404837e-5,3.573409892923081e-6,2.2221821744155323e-6,2.5451203133234924e-5,0,1.1510043885736701e-4,4.209799854708787e-5,2.4030487385545284e-6
2003-05-27T06:00:00Z,2003-05-27T05:43:03Z,2.1551910739055362e-5,4.25895168592148e-6,2.8215167048506193e-6,2.578626102873778e-5,1.4672902605775303e-5,8.376062975132817e-6,9.09356179558781e-5,8.4534371950102e-5
2003-05-27T06:15:00Z,2003-05-27T05:58:03Z,9.604728875503298e-6,3.7779816650847274e-6,9.306496551148774e-6,0,3.771818150118154e-5,0,7.924941800412982e-5,5.3551753326243944e-5
2003-05-27T06:30:00Z,2003-05-27T06:13:03Z,0,4.163712191168712e-6,0,1.2596110381116813e-5,1.8002137100463908e-5,4.288847027015682e-5,2.0238006718708806e-5,1.972510611026585e-5
2003-05-27T06:45:00Z,2003-05-27T06:28:03Z,3.2995865672550757e-6,1.3025956197518024e-5,1.7254858896495072e-5,3.865037741756662e-7,1.1622117153562369e-4,1.9482851009876997e-4,1.0110933308087868e-4,1.4539204321119338e-4
2003-05-27T07:00:00Z,2003-05-27T06:43:03Z,0,2.609020535068858e-7,2.1450465223088226e-5,0,1.0027876796262161e-4,9.161096468723104e-5,0,6.1350688310794e-5
2003-05-27T07:15:00Z,2003-05-27T06:58:03Z,1.7069466745052735e-5,7.074876080423981e-6,5.868143971049694e-5,1.1558226784521097e-6,2.6839859070631958e-5,1.4450312390253264e-4,3.934613045982489e-5,3.686024605655492e-5
2003-05-27T07:30:00Z,2003-05-27T07:13:03Z,4.166861870608675e-5,1.512306823999598e-5,5.847730403213685e-5,3.25080794727229e-7,1.5306782335401404e-4,3.1857999295533616e-4,2.247891506079417e-5,1.4681872526070694e-4
2003-05-27T07:45:00Z,2003-05-27T07:28:03Z,8.911989895316732e-5,2.45183655316365e-5,3.507302421927122e-5,1.2237962964479352e-5,6.542931287060707e-5,4.055093217468811e-4,6.473798537341862e-5,1.0323946083365088e-4
2003-05-27T08:00:00Z,2003-05-27T07:43:03Z,2.2994302337077773e-4,1.4285501654426603e-5,6.048475745824438e-5,4.426465095910251e-5,6.565662077513115e-5,6.86430615891351e-4,1.4703985025274553e-4,1.588171222818992e-4
