TIMESTAMP,solar_TIMESTAMP,GBR_ABE_PLO_Psi_Jt_1,GBR_ABE_PLO_Psi_Jt_2,GBR_ABE_PLO_Psi_Jt_3,GBR_ABE_PLO_Psi_Jt_4,GBR_ABE_PLO_Psi_Jt_5,GBR_ABE_PLO_Psi_Jt_6,GBR_ABE_PLO_Psi_Jt_7,GBR_ABE_PLO_Psi_Jt_8,GBR_ABE_PLO_Psi_Jt_9,GBR_ABE_PLO_Psi_Jt_10,GBR_ABE_PLO_Psi_Jt_11,GBR_ABE_PLO_Psi_Jt_12,GBR_ABE_PLO_Psi_Jt_13,GBR_ABE_PLO_Psi_Jt_14,GBR_ABE_PLO_Psi_Jt_15
2001-04-19T10:30:00Z,2001-04-19T10:15:50Z,3.864532269113896e-4,4.5209166715154436e-4,7.62324540137649e-4,4.8734555150293103e-4,3.566214860835757e-4,8.131092479881423e-5,2.3727288220799593e-4,2.0930454287483374e-4,4.94890721827936e-4,0,0,0,0,0,0
2001-04-19T11:00:00Z,2001-04-19T10:45:50Z,4.626971578452319e-4,5.612931795136712e-4,9.114234327924314e-4,6.88365635686013e-4,4.974989589197016e-4,1.4265779539082216e-4,3.3591043306227324e-4,2.676143022453175e-4,5.975304465495785e-4,0,0,0,0,0,0
2001-04-19T11:30:00Z,2001-04-19T11:15:50Z,5.779269022133429e-4,7.305975966372317e-4,0.0011287663864091963,0.0010073146580796123,7.31734202793576e-4,2.275060975846393e-4,5.04657089026967e-4,3.439150319470093e-4,7.269156889492014e-4,0,0,0,0,0,0
2001-04-19T12:00:00Z,2001-04-19T11:45:50Z,8.364427766250347e-4,8.62768190726643e-4,0.001235759420078823,0.0012134528051681367,9.471188621670892e-4,3.2077735545618164e-4,6.786745698754015e-4,4.6171831188217635e-4,8.08239572621927e-4,0,0,0,0,0,0
2001-04-19T12:30:00Z,2001-04-19T12:15:50Z,9.872594445688387e-4,9.945021509999736e-4,0.001330314641543812,0.001399579585663048,0.0011564986088666812,4.018191791802062e-4,8.206874268945164e-4,5.885424513040808e-4,8.809437572554566e-4,0,0,0,0,0,0
2001-04-19T13:00:00Z,2001-04-19T12:45:50Z,0.0010370116474213767,0.0010398228720342048,0.0013383136163178494,0.0014791761254910833,0.0012708980750948328,4.7205272262885317e-4,9.08602918582433e-4,6.878623099728468e-4,9.151945171284022e-4,0,0,0,0,0,0
2001-04-19T13:30:00Z,2001-04-19T13:15:50Z,9.732011773852468e-4,0.00103222040527318,0.0013463310231737733,0.001525442991337199,0.0012959349504685549,5.030880052262669e-4,9.22391294232398e-4,7.423292129263913e-4,9.037288422691402e-4,0,0,0,0,0,0
2001-04-19T14:00:00Z,2001-04-19T13:45:50Z,9.592124779109866e-4,0.0010398228720342048,0.0013704939885703375,0.001691915268488636,0.0013636076867842494,5.34674530107315e-4,9.22391294232398e-4,8.043670276932914e-4,8.92311922140758e-4,0,0,0,0,0,0
2001-04-19T14:30:00Z,2001-04-19T14:15:50Z,9.872594445688387e-4,9.721062703455737e-4,0.0012279987797351316,0.0015370991838382837,0.0012460461752959045,5.240848014189566e-4,8.541504290115447e-4,7.669528547104516e-4,8.192906283934285e-4,0,0,0,0,0,0
2001-04-19T15:00:00Z,2001-04-19T14:45:50Z,8.97123761659028e-4,8.98725234741166e-4,0.0011818176148871392,0.0015138226393234052,0.0011725962673491015,4.926813611892603e-4,7.94232930116004e-4,7.179614128357312e-4,7.429600142853902e-4,0,0,0,0,0,0
2001-04-19T15:30:00Z,2001-04-19T15:15:50Z,8.97123761659028e-4,9.205341615006445e-4,0.0011665694039050926,0.0015959195629034325,0.001213197330287434,4.771867256787276e-4,7.745765488756244e-4,7.05873625795188e-4,7.269156889492014e-4,0,0,0,0,0,0
2001-04-19T16:00:00Z,2001-04-19T15:45:50Z,8.297873827510054e-4,9.059753196763102e-4,0.001136290742089811,0.0015487912678758746,0.0011725962673491015,4.6693420978342724e-4,7.486143749481918e-4,6.759351387282178e-4,7.004208124138083e-4,0,0,0,0,0,0
2001-04-19T16:30:00Z,2001-04-19T16:15:50Z,7.836870509167027e-4,8.77092327559915e-4,0.0011137719823416975,0.0014906892558157134,0.0011404823828322056,4.415751706320359e-4,7.165583173640072e-4,6.172676626954359e-4,6.794465001090591e-4,0,0,0,0,0,0
2001-04-19T17:00:00Z,2001-04-19T16:45:50Z,8.231493876159395e-4,8.556354684642844e-4,0.0010766023704922906,0.0014562567455907594,0.0011325047779369025,4.315411939007532e-4,7.10200093961288e-4,5.715033587129491e-4,6.586696975094742e-4,0,0,0,0,0,0
2001-04-19T17:30:00Z,2001-04-19T17:15:50Z,8.83517427104781e-4,8.062545244652708e-4,9.820712236610954e-4,0.001321714003450394,0.0010460902917858732,4.166086452326561e-4,6.599722226614675e-4,5.102955275404948e-4,6.025568401960249e-4,0,0,0,0,0,0
2001-04-19T18:00:00Z,2001-04-19T17:45:50Z,6.877815918620832e-4,7.441764927535331e-4,9.465227359699984e-4,0.0011501635794753586,9.39646898629126e-4,3.8232452091075146e-4,6.108839527802106e-4,4.405691287173264e-4,5.676353967973666e-4,0,0,0,0,0,0
2001-04-19T18:30:00Z,2001-04-19T18:15:50Z,5.898483610495691e-4,6.183714518010956e-4,7.821432297443672e-4,9.093951774322754e-4,7.594014422892157e-4,3.3473082416919333e-4,5.161680145573137e-4,3.687301089980223e-4,4.8068737653825635e-4,0,0,0,0,0,0
