TIMESTAMP,solar_TIMESTAMP,FIN_PET_Bpu_Js_1,FIN_PET_Bpu_Js_2,FIN_PET_Bpu_Js_3,FIN_PET_Bpu_Js_4,FIN_PET_Bpu_Js_5,FIN_PET_Bpu_Js_6,FIN_PET_Bpu_Js_7
2008-06-19T14:00:00Z,2008-06-19T15:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T14:30:00Z,2008-06-19T16:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T15:00:00Z,2008-06-19T16:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T15:30:00Z,2008-06-19T17:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T16:00:00Z,2008-06-19T17:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T16:30:00Z,2008-06-19T18:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T17:00:00Z,2008-06-19T18:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T17:30:00Z,2008-06-19T19:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T18:00:00Z,2008-06-19T19:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T18:30:00Z,2008-06-19T20:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T19:00:00Z,2008-06-19T20:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T19:30:00Z,2008-06-19T21:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T20:00:00Z,2008-06-19T21:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T20:30:00Z,2008-06-19T22:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T21:00:00Z,2008-06-19T22:46:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T21:30:00Z,2008-06-19T23:16:57Z,NA,NA,NA,NA,NA,NA,NA
2008-06-19T22:00:00Z,2008-06-19T23:46:57Z,3.9218168434745015e-4,NA,0,4.264244769398077e-4,0,NA,3.5667621528304893e-4
2008-06-19T22:30:00Z,2008-06-20T00:16:45Z,3.9218168434745015e-4,NA,3.7495891240456665e-5,4.264244769398077e-4,1.8824851168886094e-5,NA,3.349937376097762e-4
2008-06-19T23:00:00Z,2008-06-20T00:46:45Z,3.432925706453752e-4,NA,6.193062384842421e-5,3.9925116446994265e-4,4.430085435298871e-5,NA,2.9269128283813186e-4
2008-06-19T23:30:00Z,2008-06-20T01:16:45Z,3.432925706453752e-4,NA,1.4653746984867992e-4,4.264244769398077e-4,7.316365410656151e-5,NA,2.5185550691272934e-4
2008-06-20T00:00:00Z,2008-06-20T01:46:45Z,3.432925706453752e-4,NA,2.777881201972364e-4,4.540486899793488e-4,1.3792026758258595e-4,NA,2.125609814168271e-4
2008-06-20T00:30:00Z,2008-06-20T02:16:45Z,2.959404904600635e-4,NA,6.273595479333997e-4,5.106199549037779e-4,3.6975818732043334e-4,NA,2.3201014115667388e-4
2008-06-20T01:00:00Z,2008-06-20T02:46:45Z,3.432925706453752e-4,NA,9.411120557415661e-4,4.8211613186410426e-4,8.415661389429425e-4,NA,2.7208583961710076e-4
2008-06-20T01:30:00Z,2008-06-20T03:16:45Z,3.432925706453752e-4,NA,9.88631307734085e-4,5.106199549037779e-4,0.0013375591345925273,NA,2.9269128283813186e-4
2008-06-20T02:00:00Z,2008-06-20T03:46:45Z,3.432925706453752e-4,NA,0.0010856221026106282,5.395540360182625e-4,0.0022968048463848714,NA,3.349937376097762e-4
2008-06-20T02:30:00Z,2008-06-20T04:16:45Z,3.432925706453752e-4,NA,0.0010856221026106282,5.689128932212209e-4,0.003025393691225469,NA,3.1366314708052316e-4
2008-06-20T03:00:00Z,2008-06-20T04:46:45Z,2.959404904600635e-4,NA,0.0010856221026106282,5.986916149390331e-4,0.0043422206151318855,NA,2.3201014115667388e-4
2008-06-20T03:30:00Z,2008-06-20T05:16:45Z,2.0626935241455156e-4,NA,0.0010368031231861741,1.7686896931849065e-4,0.0066920272462224015,NA,1.05080471539719e-4
2008-06-20T04:00:00Z,2008-06-20T05:46:45Z,8.698459439710346e-5,NA,0.0010368031231861741,0,0.00747008157319537,NA,3.101473489790548e-5
2008-06-20T04:30:00Z,2008-06-20T06:16:45Z,2.234480995629985e-5,NA,0.0010368031231861741,2.3883616575162937e-5,0.007935008994312641,NA,0
2008-06-20T05:00:00Z,2008-06-20T06:46:45Z,0,NA,0.0010368031231861741,0.0013162288735521052,0.008537789528492361,NA,7.980194561839702e-6
2008-06-20T05:30:00Z,2008-06-20T07:16:45Z,NA,NA,9.88631307734085e-4,0.002160039292902914,0.009037894275977797,NA,0
2008-06-20T06:00:00Z,2008-06-20T07:46:45Z,NA,NA,9.411120557415661e-4,0.002023273043103182,0.009165469339575428,NA,1.8779733214841785e-5
2008-06-20T06:30:00Z,2008-06-20T08:16:45Z,NA,NA,9.88631307734085e-4,0.002023273043103182,0.009423735499217,NA,1.8779733214841785e-5
2008-06-20T07:00:00Z,2008-06-20T08:46:45Z,NA,NA,0.0011350834368275766,0.0023481714145123338,0.009686212753037023,NA,1.390174311830391e-4
2008-06-20T07:30:00Z,2008-06-20T09:16:45Z,NA,NA,0.0019521479754942856,0.001934131001866857,0.00955444345165333,NA,8.892256067511608e-5
2008-06-20T08:00:00Z,2008-06-20T09:46:45Z,NA,NA,0.003047039607625922,0.0017606726030321529,0.00955444345165333,NA,3.1366314708052316e-4
2008-06-20T08:30:00Z,2008-06-20T10:16:45Z,NA,NA,0.0037776337016510136,0.0014723726693896323,0.009037894275977797,NA,1.390174311830391e-4
2008-06-20T09:00:00Z,2008-06-20T10:46:45Z,NA,NA,0.0038543628921567335,0.0019784996304280825,0.009686212753037023,NA,2.125609814168271e-4
2008-06-20T09:30:00Z,2008-06-20T11:16:45Z,7.722479090241254e-4,NA,0.005177525974006467,0.0030605564651542475,NA,NA,6.170446736890576e-4
2008-06-20T10:00:00Z,2008-06-20T11:46:45Z,NA,NA,0.0035514974492034277,0.0027447475464980327,0.009037894275977797,NA,8.892256067511608e-5
2008-06-20T10:30:00Z,2008-06-20T12:16:45Z,NA,NA,0.0023810695783163514,0.0022532735221278814,0.008537789528492361,NA,5.846439449253103e-5
2008-06-20T11:00:00Z,2008-06-20T12:46:45Z,NA,NA,0.0014451339365694816,0.001934131001866857,0.007817357356028084,NA,1.8779733214841785e-5
2008-06-20T11:30:00Z,2008-06-20T13:16:45Z,NA,NA,0.001553480184616256,0.0027447475464980327,0.0075849006477030165,NA,7.980194561839702e-6
2008-06-20T12:00:00Z,2008-06-20T13:46:45Z,NA,NA,0.0018933460931205178,0.003392770214804426,0.0066920272462224015,NA,NA
2008-06-20T12:30:00Z,2008-06-20T14:16:45Z,NA,NA,8.480561641385939e-4,0.0026936649304815335,0.0025796864020186717,NA,0
2008-06-20T13:00:00Z,2008-06-20T14:46:45Z,NA,NA,1.4653746984867992e-4,8.18581784848108e-4,NA,NA,0
2008-06-20T13:30:00Z,2008-06-20T15:16:45Z,NA,NA,8.848322996972442e-5,5.6355115302622056e-5,NA,NA,NA
2008-06-20T14:00:00Z,2008-06-20T15:46:45Z,0,NA,3.7495891240456665e-5,2.462499918624436e-4,NA,NA,NA
2008-06-20T14:30:00Z,2008-06-20T16:16:45Z,NA,NA,NA,2.462499918624436e-4,NA,NA,0
