TIMESTAMP,solar_TIMESTAMP,ESP_TIL_PIN_Psy_Js_1,ESP_TIL_PIN_Psy_Js_2,ESP_TIL_PIN_Psy_Js_3,ESP_TIL_PIN_Psy_Js_4,ESP_TIL_PIN_Psy_Js_5,ESP_TIL_PIN_Psy_Js_6,ESP_TIL_PIN_Psy_Js_7,ESP_TIL_PIN_Psy_Js_8,ESP_TIL_PIN_Psy_Js_9
2010-05-03T05:15:00Z,2010-05-03T05:22:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T05:30:00Z,2010-05-03T05:37:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T05:44:59Z,2010-05-03T05:52:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T06:00:00Z,2010-05-03T06:07:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T06:15:00Z,2010-05-03T06:22:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T06:29:59Z,2010-05-03T06:37:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T06:45:00Z,2010-05-03T06:52:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T07:00:00Z,2010-05-03T07:07:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T07:14:59Z,2010-05-03T07:22:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T07:30:00Z,2010-05-03T07:37:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T07:45:00Z,2010-05-03T07:52:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T07:59:59Z,2010-05-03T08:07:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T08:15:00Z,2010-05-03T08:22:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-03T08:30:00Z,2010-05-03T08:37:03Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
