TIMESTAMP,solar_TIMESTAMP,GBR_GUI_ST2_Psy_Js_1,GBR_GUI_ST2_Psy_Js_2,GBR_GUI_ST2_Psy_Js_3,GBR_GUI_ST2_Psy_Js_4,GBR_GUI_ST2_Psy_Js_5,GBR_GUI_ST2_Psy_Js_6,GBR_GUI_ST2_Psy_Js_7,GBR_GUI_ST2_Psy_Js_8,GBR_GUI_ST2_Psy_Js_9
2003-05-07T01:45:00Z,2003-05-07T01:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T02:00:00Z,2003-05-07T01:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T02:15:00Z,2003-05-07T01:59:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T02:30:00Z,2003-05-07T02:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T02:45:00Z,2003-05-07T02:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T03:00:00Z,2003-05-07T02:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T03:15:00Z,2003-05-07T02:59:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T03:30:00Z,2003-05-07T03:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T03:45:00Z,2003-05-07T03:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T04:00:00Z,2003-05-07T03:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T04:15:00Z,2003-05-07T03:59:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T04:30:00Z,2003-05-07T04:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T04:45:00Z,2003-05-07T04:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T05:00:00Z,2003-05-07T04:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T05:15:00Z,2003-05-07T04:59:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T05:30:00Z,2003-05-07T05:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T05:45:00Z,2003-05-07T05:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T06:00:00Z,2003-05-07T05:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T06:15:00Z,2003-05-07T05:59:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T06:30:00Z,2003-05-07T06:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T06:45:00Z,2003-05-07T06:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T07:00:00Z,2003-05-07T06:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T07:15:00Z,2003-05-07T06:59:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T07:30:00Z,2003-05-07T07:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T07:45:00Z,2003-05-07T07:29:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T08:00:00Z,2003-05-07T07:44:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T08:15:00Z,2003-05-07T07:59:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-07T08:30:00Z,2003-05-07T08:14:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
