TIMESTAMP,solar_TIMESTAMP,ESP_TIL_OAK_Qil_Js_1,ESP_TIL_OAK_Qil_Js_2,ESP_TIL_OAK_Qil_Js_3,ESP_TIL_OAK_Qil_Js_4,ESP_TIL_OAK_Qil_Js_5,ESP_TIL_OAK_Qil_Js_6,ESP_TIL_OAK_Qil_Js_7,ESP_TIL_OAK_Qil_Js_8,ESP_TIL_OAK_Qil_Js_9,ESP_TIL_OAK_Qil_Js_10
2010-05-05T19:15:00Z,2010-05-05T19:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T19:30:00Z,2010-05-05T19:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T19:45:00Z,2010-05-05T19:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T20:00:00Z,2010-05-05T20:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T20:15:00Z,2010-05-05T20:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T20:30:00Z,2010-05-05T20:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T20:45:00Z,2010-05-05T20:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T21:00:00Z,2010-05-05T21:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T21:15:00Z,2010-05-05T21:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T21:30:00Z,2010-05-05T21:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T21:45:00Z,2010-05-05T21:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T22:00:00Z,2010-05-05T22:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T22:15:00Z,2010-05-05T22:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T22:30:00Z,2010-05-05T22:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T22:45:00Z,2010-05-05T22:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T23:00:00Z,2010-05-05T23:07:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T23:15:00Z,2010-05-05T23:22:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T23:30:00Z,2010-05-05T23:37:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05T23:45:00Z,2010-05-05T23:52:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T00:00:00Z,2010-05-06T00:07:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T00:15:00Z,2010-05-06T00:22:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T00:30:00Z,2010-05-06T00:37:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T00:45:00Z,2010-05-06T00:52:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T01:00:00Z,2010-05-06T01:07:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T01:15:00Z,2010-05-06T01:22:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T01:30:00Z,2010-05-06T01:37:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T01:45:00Z,2010-05-06T01:52:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-06T02:00:00Z,2010-05-06T02:07:17Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
