TIMESTAMP,TIMESTAMP_solar,USA_PAR_FER_Pta_Jt_1,USA_PAR_FER_Pta_Jt_2,USA_PAR_FER_Pta_Jt_3,USA_PAR_FER_Pta_Jt_4,USA_PAR_FER_Pta_Jt_5,USA_PAR_FER_Pta_Jt_6,USA_PAR_FER_Pta_Jt_7,USA_PAR_FER_Pta_Jt_8
2007-01-05T07:00:00Z,2007-01-05T01:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T07:30:00Z,2007-01-05T02:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T08:00:00Z,2007-01-05T02:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T08:30:00Z,2007-01-05T03:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T09:00:00Z,2007-01-05T03:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T09:30:00Z,2007-01-05T04:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T10:00:00Z,2007-01-05T04:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T10:30:00Z,2007-01-05T05:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T11:00:00Z,2007-01-05T05:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T11:30:00Z,2007-01-05T06:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T12:00:00Z,2007-01-05T06:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T12:30:00Z,2007-01-05T07:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T13:00:00Z,2007-01-05T07:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T13:30:00Z,2007-01-05T08:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T14:00:00Z,2007-01-05T08:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T14:30:00Z,2007-01-05T09:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T15:00:00Z,2007-01-05T09:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T15:30:00Z,2007-01-05T10:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T16:00:00Z,2007-01-05T10:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T16:30:00Z,2007-01-05T11:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T17:00:00Z,2007-01-05T11:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T17:30:00Z,2007-01-05T12:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T18:00:00Z,2007-01-05T12:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T18:30:00Z,2007-01-05T13:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T19:00:00Z,2007-01-05T13:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T19:30:00Z,2007-01-05T14:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T20:00:00Z,2007-01-05T14:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T20:30:00Z,2007-01-05T15:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T21:00:00Z,2007-01-05T15:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T21:30:00Z,2007-01-05T16:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T22:00:00Z,2007-01-05T16:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T22:30:00Z,2007-01-05T17:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T23:00:00Z,2007-01-05T17:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05T23:30:00Z,2007-01-05T18:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T00:00:00Z,2007-01-05T18:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T00:30:00Z,2007-01-05T19:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T01:00:00Z,2007-01-05T19:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T01:30:00Z,2007-01-05T20:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T02:00:00Z,2007-01-05T20:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T02:30:00Z,2007-01-05T21:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T03:00:00Z,2007-01-05T21:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T03:30:00Z,2007-01-05T22:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T04:00:00Z,2007-01-05T22:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T04:30:00Z,2007-01-05T23:17:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T05:00:00Z,2007-01-05T23:47:06Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T05:30:00Z,2007-01-06T00:16:42Z,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-06T06:00:00Z,2007-01-06T00:46:42Z,NA,NA,NA,NA,NA,NA,NA,NA
