TIMESTAMP,solar_TIMESTAMP,ESP_CAN_Qpu_Js_1,ESP_CAN_Qpu_Js_2,ESP_CAN_Qpu_Js_3,ESP_CAN_Qpu_Js_4,ESP_CAN_Qpu_Js_5,ESP_CAN_Qpu_Js_6,ESP_CAN_Qpu_Js_7,ESP_CAN_Pha_Js_8,ESP_CAN_Pha_Js_9,ESP_CAN_Pha_Js_10,ESP_CAN_Qil_Js_11,ESP_CAN_Qil_Js_12,ESP_CAN_Qil_Js_13,ESP_CAN_Qil_Js_14,ESP_CAN_Qil_Js_15,ESP_CAN_Qil_Js_16,ESP_CAN_Qil_Js_17,ESP_CAN_Aun_Js_18,ESP_CAN_Aun_Js_19,ESP_CAN_Aun_Js_20,ESP_CAN_Aun_Js_21
2011-01-01T17:45:23Z,2011-01-01T17:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T18:00:23Z,2011-01-01T18:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T18:15:23Z,2011-01-01T18:19:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T18:30:23Z,2011-01-01T18:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T18:45:23Z,2011-01-01T18:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T19:00:23Z,2011-01-01T19:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T19:15:23Z,2011-01-01T19:19:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T19:30:23Z,2011-01-01T19:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T19:45:23Z,2011-01-01T19:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T20:00:23Z,2011-01-01T20:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T20:15:23Z,2011-01-01T20:19:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T20:30:23Z,2011-01-01T20:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T20:45:23Z,2011-01-01T20:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T21:00:23Z,2011-01-01T21:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T21:15:23Z,2011-01-01T21:19:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T21:30:23Z,2011-01-01T21:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T21:45:23Z,2011-01-01T21:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T22:00:23Z,2011-01-01T22:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T22:15:23Z,2011-01-01T22:19:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T22:30:23Z,2011-01-01T22:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T22:45:23Z,2011-01-01T22:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T23:00:23Z,2011-01-01T23:04:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T23:15:23Z,2011-01-01T23:19:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T23:30:23Z,2011-01-01T23:34:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01T23:45:23Z,2011-01-01T23:49:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T00:00:23Z,2011-01-02T00:03:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T00:15:23Z,2011-01-02T00:18:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T00:30:23Z,2011-01-02T00:33:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T00:45:23Z,2011-01-02T00:48:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T01:00:23Z,2011-01-02T01:03:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T01:15:23Z,2011-01-02T01:18:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T01:30:23Z,2011-01-02T01:33:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T01:45:23Z,2011-01-02T01:48:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-02T02:00:23Z,2011-01-02T02:03:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
