TIMESTAMP,TIMESTAMP_solar,USA_WVF_Aru_Js_1,USA_WVF_Aru_Js_2,USA_WVF_Asa_Js_3,USA_WVF_Pse_Js_4,USA_WVF_Qal_Js_5,USA_WVF_Qal_Js_6,USA_WVF_Qru_Js_7,USA_WVF_Qru_Js_8
1998-04-02T16:00:00Z,1998-04-02T10:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T17:00:00Z,1998-04-02T11:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T18:00:00Z,1998-04-02T12:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T19:00:00Z,1998-04-02T13:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T20:00:00Z,1998-04-02T14:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T21:00:00Z,1998-04-02T15:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T22:00:00Z,1998-04-02T16:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-02T23:00:00Z,1998-04-02T17:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T00:00:00Z,1998-04-02T18:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T01:00:00Z,1998-04-02T19:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T02:00:00Z,1998-04-02T20:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T03:00:00Z,1998-04-02T21:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T04:00:00Z,1998-04-02T22:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T05:00:00Z,1998-04-02T23:37:55Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T06:00:00Z,1998-04-03T00:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T07:00:00Z,1998-04-03T01:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T08:00:00Z,1998-04-03T02:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T09:00:00Z,1998-04-03T03:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T10:00:00Z,1998-04-03T04:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T11:00:00Z,1998-04-03T05:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T12:00:00Z,1998-04-03T06:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T13:00:00Z,1998-04-03T07:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T14:00:00Z,1998-04-03T08:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T15:00:00Z,1998-04-03T09:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T16:00:00Z,1998-04-03T10:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T17:00:00Z,1998-04-03T11:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T18:00:00Z,1998-04-03T12:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T19:00:00Z,1998-04-03T13:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T20:00:00Z,1998-04-03T14:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T21:00:00Z,1998-04-03T15:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T22:00:00Z,1998-04-03T16:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-03T23:00:00Z,1998-04-03T17:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
1998-04-04T00:00:00Z,1998-04-03T18:38:13Z,NA,NA,NA,NA,NA,NA,NA,NA
