LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,221912,2336794,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.52689187,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,222012,2338685,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.442673005,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,222013,2338708,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.465442792,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,222014,2338731,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.557098765,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Picea abies,41907,Picea abies,222103,2340404,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.97,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
Niinemets,Ülo,87,Global Leaf Robustness and Physiology Database,Pinus sylvestris,42185,Pinus sylvestris,222104,2340423,174,Leaf area index (LAI) total per LAI projected ,532,Leaf total to projected area ratio,TLA/PLA,2.56,mm2/mm2,Single,,,,,,,,,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: Total to projected area ratio
White,Michael,79,BIOME-BGC Parameterization Database,Pinus strobus,42184,Pinus strobus,927658,5329841,174,Leaf area index (LAI) total per LAI projected ,1017,Ratio of leaf area index of the whole leaves to projected leaf area index,Leaf Area Index all to projected,2.54,LAI per LAI,,,,,,,,,,"White, M. A., P. E. Thornton, S. W. Running, and R. R. Nemani. 2000. Parameterization and sensitivity analysis of the BIOME-BGC terrestrial ecosystem model: Net primary production controls. Earth Interactions 4:1-85.",
Sack,Lawren,111,"Leaf and Whole-Plant Traits Database: Hydraulic and Gas Exchange Physiology, Anatomy, Venation Struc",Acer rubrum,859,Acer rubrum,1056076,6719356,709,Leaf cuticular conductance,1520,Leaf cuticular conductance,Cuticular conductance,4.209644262,mmol m-2 s-1,,,,,,,,,,"Sack, L., P. D. Cowan, N. Jaikumar, and N. M. Holbrook. 2003. The 'hydrology' of leaves: co-ordination of structure and function in temperate woody species. Plant Cell and Environment 26:1343-1356.",
Sack,Lawren,111,"Leaf and Whole-Plant Traits Database: Hydraulic and Gas Exchange Physiology, Anatomy, Venation Struc",Acer rubrum,859,Acer rubrum,1056077,6719387,709,Leaf cuticular conductance,1520,Leaf cuticular conductance,Cuticular conductance,4.354295394,mmol m-2 s-1,,,,,,,,,,"Sack, L., P. D. Cowan, N. Jaikumar, and N. M. Holbrook. 2003. The 'hydrology' of leaves: co-ordination of structure and function in temperate woody species. Plant Cell and Environment 26:1343-1356.",
Sack,Lawren,111,"Leaf and Whole-Plant Traits Database: Hydraulic and Gas Exchange Physiology, Anatomy, Venation Struc",Acer saccharum,863,Acer saccharum,1056078,6719418,709,Leaf cuticular conductance,1520,Leaf cuticular conductance,Cuticular conductance,4.209644262,mmol m-2 s-1,,,,,,,,,,"Sack, L., P. D. Cowan, N. Jaikumar, and N. M. Holbrook. 2003. The 'hydrology' of leaves: co-ordination of structure and function in temperate woody species. Plant Cell and Environment 26:1343-1356.",
