DateTime (Day),Volumetric Soil Moisture [m3/m3],
,0-120 cm,
,mean,SD
'21-Dec-2017',0.0652159785,0.0039144103
'22-Dec-2017',0.0625551539,0.0033667024
'23-Dec-2017',0.0599238716,0.0028997092
'24-Dec-2017',0.0576904106,0.0027567612
'25-Dec-2017',0.0554475341,0.0026606572
'26-Dec-2017',0.0533634533,0.0026033381
'27-Dec-2017',0.0512732485,0.0024817491
'28-Dec-2017',0.0494095651,0.0024642533
'29-Dec-2017',0.0496104686,0.0036563646
'30-Dec-2017',0.0540226019,0.0047698047
'31-Dec-2017',0.0533125886,0.0038341383
'01-Jan-2018',0.0516881683,0.0032370289
'02-Jan-2018',0.0499300275,0.0029445559
'03-Jan-2018',0.0490210365,0.0034163965
'04-Jan-2018',0.0476750218,0.0034690668
'05-Jan-2018',0.0462569326,0.0033634017
'06-Jan-2018',0.0447945712,0.003156106
'07-Jan-2018',0.0436372454,0.0030740171
'08-Jan-2018',0.0426590582,0.0031728418
'09-Jan-2018',0.041570074,0.0031648582
'10-Jan-2018',0.0404752386,0.0031156727
'11-Jan-2018',0.0394449898,0.0030093684
'12-Jan-2018',0.038984957,0.0031978178
'13-Jan-2018',0.0393195896,0.0040030946
'14-Jan-2018',0.0394121734,0.0046128477
'15-Jan-2018',0.0388307912,0.0044559307
'16-Jan-2018',0.0381463919,0.0042045111
'17-Jan-2018',0.0373928727,0.0039746046
'18-Jan-2018',0.0366177798,0.0036836072
'19-Jan-2018',0.0357671076,0.0033551096
'20-Jan-2018',0.0350923423,0.0031879184
'21-Jan-2018',0.0344885335,0.0031500188
'22-Jan-2018',0.0338751321,0.0030538362
'23-Jan-2018',0.0332851728,0.0030136092
'24-Jan-2018',0.0326946268,0.0029507929
'25-Jan-2018',0.0322852985,0.0030060963
'26-Jan-2018',0.0338487518,0.0046965593
'27-Jan-2018',0.0333290711,0.0042769639
'28-Jan-2018',0.0327149379,0.0037763718
'29-Jan-2018',0.0337496359,0.0048874938
'30-Jan-2018',0.0601922136,0.0133698703
'31-Jan-2018',0.0573867894,0.0055163197
'01-Feb-2018',0.0548781476,0.003340158
'02-Feb-2018',0.0526522763,0.00220017
'03-Feb-2018',0.0505784089,0.0015024983
'04-Feb-2018',0.0486514127,0.0009857802
'05-Feb-2018',0.047039851,0.000724334
'06-Feb-2018',0.045413008,0.0005533017
'07-Feb-2018',0.0439060236,0.0004489459
'08-Feb-2018',0.0425525562,0.0004366607
'09-Feb-2018',0.0414113068,0.0005460431
'10-Feb-2018',0.0403347717,0.0006182657
'11-Feb-2018',0.0392141678,0.0006887124
'12-Feb-2018',0.0381471087,0.0007878673
'13-Feb-2018',0.037121984,0.0008793634
'14-Feb-2018',0.0361365694,0.0009954729
'15-Feb-2018',0.0352064783,0.0011681888
'16-Feb-2018',0.0344263042,0.0013451082
'17-Feb-2018',0.0336602957,0.0014891668
'18-Feb-2018',0.0329989533,0.0016401576
'19-Feb-2018',0.0324191885,0.0017756097
'20-Feb-2018',0.0317935086,0.00188951
'21-Feb-2018',0.0312040178,0.0020100305
'22-Feb-2018',0.0306782202,0.0021126245
'23-Feb-2018',0.0302193465,0.0022076698
'24-Feb-2018',0.0297631687,0.0023407352
'25-Feb-2018',0.0293661566,0.0024940171
'26-Feb-2018',0.0288812876,0.0025769199
'27-Feb-2018',0.0284216144,0.002607745
'28-Feb-2018',0.0279604069,0.0026297064
'01-Mar-2018',0.0276005919,0.0027084309
'02-Mar-2018',0.0272348556,0.002782596
'03-Mar-2018',0.0269069872,0.0028276082
'04-Mar-2018',0.0265830831,0.0028693728
'05-Mar-2018',0.0262444743,0.0029242006
'06-Mar-2018',0.025946905,0.0029645674
'07-Mar-2018',0.0256950742,0.0029849763
'08-Mar-2018',0.025445234,0.0030020384
'09-Mar-2018',0.0252059669,0.0030220939
'10-Mar-2018',0.0249623576,0.0030576151
'11-Mar-2018',0.0247332011,0.0030976786
'12-Mar-2018',0.0245341476,0.0031353951
'13-Mar-2018',0.0243082802,0.0031661468
'14-Mar-2018',0.0240983037,0.0031793317
'15-Mar-2018',0.0239262224,0.0032054314
'16-Mar-2018',0.0237860879,0.0032336901
'17-Mar-2018',0.0236235772,0.00324272
'18-Mar-2018',0.0234420424,0.0032822766
'19-Mar-2018',0.0232414867,0.0032984737
'20-Mar-2018',0.0230994202,0.0033091326
'21-Mar-2018',0.0229026236,0.0033338502
'22-Mar-2018',0.0227370602,0.0033206335
'23-Mar-2018',0.0225962274,0.0033104807
'24-Mar-2018',0.032232294,0.0116180841
'25-Mar-2018',0.0351443105,0.0128410649
'26-Mar-2018',0.0341062342,0.0114175831
'27-Mar-2018',0.0325069207,0.0097027597
'28-Mar-2018',0.0310848105,0.0083084
'29-Mar-2018',0.0301238491,0.007348038
'30-Mar-2018',0.0292546097,0.0065963831
'31-Mar-2018',0.0285137274,0.0060017811
'01-Apr-2018',0.0278859126,0.0055241278
'02-Apr-2018',0.0273473166,0.0051371441
'03-Apr-2018',0.0268481021,0.0047989892
'04-Apr-2018',0.0264005955,0.0045161188
'05-Apr-2018',0.0260519372,0.0042976879
'06-Apr-2018',0.0257230109,0.0041348342
'07-Apr-2018',0.0253813498,0.0039449672
'08-Apr-2018',0.0250578932,0.0037676664
'09-Apr-2018',0.0248051415,0.0036121211
'10-Apr-2018',0.024559989,0.0034935852
'11-Apr-2018',0.0243612091,0.0034122383
'12-Apr-2018',0.024171124,0.0033251611
'13-Apr-2018',0.0239379478,0.0032547422
'14-Apr-2018',0.024848865,0.0038648155
'15-Apr-2018',0.0284415112,0.005762133
'16-Apr-2018',0.0311074783,0.0069360219
'17-Apr-2018',0.0301679243,0.0059373062
'18-Apr-2018',0.0292746492,0.0052269166
'19-Apr-2018',0.0284805645,0.0046398443
'20-Apr-2018',0.0278295323,0.0042097804
'21-Apr-2018',0.0273046398,0.0039084435
'22-Apr-2018',0.0268469944,0.0036890634
'23-Apr-2018',0.0264688133,0.0035291639
'24-Apr-2018',0.0260412181,0.0033595716
'25-Apr-2018',0.0257768202,0.0032792452
