TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST2_DRO_Peu_Js_1,CHN_YIN_ST2_DRO_Peu_Js_2
2012-05-27T16:30:00Z,2012-05-27T22:12:43Z,,
2012-05-27T16:40:00Z,2012-05-27T22:22:43Z,,
2012-05-27T16:49:59Z,2012-05-27T22:32:42Z,,
2012-05-27T16:59:59Z,2012-05-27T22:42:42Z,,
2012-05-27T17:09:59Z,2012-05-27T22:52:42Z,,
2012-05-27T17:20:00Z,2012-05-27T23:02:43Z,,
2012-05-27T17:30:00Z,2012-05-27T23:12:43Z,,
2012-05-27T17:40:00Z,2012-05-27T23:22:43Z,,
2012-05-27T17:50:00Z,2012-05-27T23:32:43Z,,
2012-05-27T18:00:00Z,2012-05-27T23:42:43Z,,
2012-05-27T18:10:00Z,2012-05-27T23:52:43Z,,
2012-05-27T18:19:59Z,2012-05-28T00:02:34Z,,
2012-05-27T18:29:59Z,2012-05-28T00:12:34Z,,
2012-05-27T18:39:59Z,2012-05-28T00:22:34Z,,
2012-05-27T18:50:00Z,2012-05-28T00:32:35Z,,
2012-05-27T19:00:00Z,2012-05-28T00:42:35Z,,
2012-05-27T19:10:00Z,2012-05-28T00:52:35Z,,
2012-05-27T19:20:00Z,2012-05-28T01:02:35Z,,
2012-05-27T19:30:00Z,2012-05-28T01:12:35Z,,
2012-05-27T19:40:00Z,2012-05-28T01:22:35Z,,
2012-05-27T19:49:59Z,2012-05-28T01:32:34Z,,
2012-05-27T19:59:59Z,2012-05-28T01:42:34Z,,
2012-05-27T20:09:59Z,2012-05-28T01:52:34Z,,
2012-05-27T20:20:00Z,2012-05-28T02:02:35Z,,
2012-05-27T20:30:00Z,2012-05-28T02:12:35Z,,
2012-05-27T20:40:00Z,2012-05-28T02:22:35Z,,
2012-05-27T20:50:00Z,2012-05-28T02:32:35Z,,
2012-05-27T21:00:00Z,2012-05-28T02:42:35Z,,
2012-05-27T21:10:00Z,2012-05-28T02:52:35Z,,
2012-05-27T21:19:59Z,2012-05-28T03:02:34Z,,
2012-05-27T21:29:59Z,2012-05-28T03:12:34Z,,
2012-05-27T21:39:59Z,2012-05-28T03:22:34Z,,
