TIMESTAMP,solar_TIMESTAMP,MEX_VER_BSJ_Pme_Jt_1,MEX_VER_BSJ_Spe_Jt_2,MEX_VER_BSJ_Lst_Jt_3,MEX_VER_BSJ_Cma_Jt_4,MEX_VER_BSJ_Pme_Jt_5,MEX_VER_BSJ_Lst_Jt_6,MEX_VER_BSJ_Tin_Jt_7,MEX_VER_BSJ_Pme_Jt_8
2016-02-27T05:00:00Z,2016-02-26T22:19:17Z,-6.7360180208981575,NA,-13.654754705972872,-10.472433459728403,-213.2762654583586,NA,-6.47952926752805,28.23399540507599
2016-02-27T05:15:00Z,2016-02-26T22:34:17Z,29.025889076588186,NA,-3.6463855496865443,-22.07297890105461,-106.63771270227986,NA,-5.283179313878582,380.4816172419914
2016-02-27T05:30:00Z,2016-02-26T22:49:17Z,-69.96822725879147,NA,-30.06782142529466,-29.02743942725766,-13.903834519418684,NA,-2.57293163395758,-121.81542296845532
2016-02-27T05:45:00Z,2016-02-26T23:04:17Z,-47.99069616877114,NA,-7.288873096780977,-22.118555307251246,-135.19859945800513,NA,-13.071156760264651,263.0759280966613
2016-02-27T06:00:00Z,2016-02-26T23:19:17Z,-170.2979094057472,NA,6.623996379489656,-26.427237515783165,-218.2487116045153,NA,-17.86761026150623,-92.0177985756011
2016-02-27T06:15:00Z,2016-02-26T23:34:17Z,5.9228716387333975,NA,9.40044493597202,-28.277251440648122,-6.171149078372018,NA,-1.1126467308908647,294.51643510780525
2016-02-27T06:30:00Z,2016-02-26T23:49:28Z,-180.19800535607413,NA,-8.98713483373818,-28.526932127426814,-139.44665282889622,NA,-20.21477413519107,114.25874461920148
2016-02-27T06:45:00Z,2016-02-27T00:04:28Z,-225.47735320731908,NA,7.215128802939731,-18.803187436831802,-274.28391776268796,NA,-1.4025971273406546,-142.69408812910538
2016-02-27T07:00:00Z,2016-02-27T00:19:28Z,-117.43333230513993,NA,-13.9270561632572,-28.247355028692244,-217.01577525136852,NA,-1.4049005080655566,-30.213747648944864
2016-02-27T07:15:00Z,2016-02-27T00:34:28Z,25.518272784886925,NA,-12.928190901086232,-22.398223779243438,-196.60956772473622,NA,-7.096154320215083,160.72182736781292
2016-02-27T07:30:00Z,2016-02-27T00:49:28Z,40.86124383939876,NA,0.4024999353596672,-9.699242982473065,-139.4373966387142,NA,-0.08621076645738213,154.18952542177647
2016-02-27T07:45:00Z,2016-02-27T01:04:28Z,-7.877907951785104,NA,9.943534974820482,-23.103236120372195,-184.36647620929568,NA,-5.822522251825539,29.970522930657943
2016-02-27T08:00:00Z,2016-02-27T01:19:28Z,46.459940257895354,NA,-21.901227205009576,-12.646221673265675,-142.8901911508603,NA,4.534421009107879,210.0503155106473
