TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,swc_deep,sw_in,ext_rad
2007-10-03T03:30:00Z,2007-10-03T03:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T03:45:00Z,2007-10-03T03:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T04:00:00Z,2007-10-03T03:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T04:15:00Z,2007-10-03T03:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T04:30:00Z,2007-10-03T04:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T04:45:00Z,2007-10-03T04:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T05:00:00Z,2007-10-03T04:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T05:15:00Z,2007-10-03T04:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T05:30:00Z,2007-10-03T05:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T05:45:00Z,2007-10-03T05:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T06:00:00Z,2007-10-03T05:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T06:15:00Z,2007-10-03T05:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T06:30:00Z,2007-10-03T06:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T06:45:00Z,2007-10-03T06:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T07:00:00Z,2007-10-03T06:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T07:15:00Z,2007-10-03T06:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T07:30:00Z,2007-10-03T07:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T07:45:00Z,2007-10-03T07:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T08:00:00Z,2007-10-03T07:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T08:15:00Z,2007-10-03T07:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T08:30:00Z,2007-10-03T08:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T08:45:00Z,2007-10-03T08:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T09:00:00Z,2007-10-03T08:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T09:15:00Z,2007-10-03T08:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T09:30:00Z,2007-10-03T09:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T09:45:00Z,2007-10-03T09:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T10:00:00Z,2007-10-03T09:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T10:15:00Z,2007-10-03T09:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T10:30:00Z,2007-10-03T10:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T10:45:00Z,2007-10-03T10:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T11:00:00Z,2007-10-03T10:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T11:15:00Z,2007-10-03T10:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T11:30:00Z,2007-10-03T11:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T11:45:00Z,2007-10-03T11:22:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T12:00:00Z,2007-10-03T11:37:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T12:15:00Z,2007-10-03T11:52:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T12:30:00Z,2007-10-03T12:07:22Z,,,,,,,CALCULATED,CALCULATED
2007-10-03T12:45:00Z,2007-10-03T12:22:22Z,,,,,,,CALCULATED,CALCULATED
