TIMESTAMP,TIMESTAMP_solar,USA_TNO_Aru_Js_1,USA_TNO_Aru_Js_2,USA_TNO_Aru_Js_3,USA_TNO_Ltu_Js_4,USA_TNO_Qal_Js_5,USA_TNO_Qal_Js_6,USA_TNO_Qpr_Js_7,USA_TNO_Qpr_Js_8,USA_TNO_Qru_Js_9
1998-04-11T17:00:00Z,1998-04-11T11:22:04Z,,OUT_WARN,,OUT_WARN,,,,,
1998-04-11T18:00:00Z,1998-04-11T12:22:04Z,,OUT_WARN,,OUT_WARN,,,OUT_WARN,,
1998-04-11T19:00:00Z,1998-04-11T13:22:04Z,,OUT_WARN,,OUT_WARN,,,OUT_WARN,,
1998-04-11T20:00:00Z,1998-04-11T14:22:04Z,,OUT_WARN,,OUT_WARN,,,OUT_WARN,,
1998-04-11T21:00:00Z,1998-04-11T15:22:04Z,,OUT_WARN,,OUT_WARN,,,,,
1998-04-11T22:00:00Z,1998-04-11T16:22:04Z,,,,OUT_WARN,,,,,
1998-04-11T23:00:00Z,1998-04-11T17:22:04Z,,,,,,,,,
1998-04-12T00:00:00Z,1998-04-11T18:22:04Z,,,,,,,,,
1998-04-12T01:00:00Z,1998-04-11T19:22:04Z,,,,,,,,,
1998-04-12T02:00:00Z,1998-04-11T20:22:04Z,,,,,,,,,
1998-04-12T03:00:00Z,1998-04-11T21:22:04Z,,,,,,,,,
1998-04-12T04:00:00Z,1998-04-11T22:22:04Z,,,,,,,,,
1998-04-12T05:00:00Z,1998-04-11T23:22:04Z,,,,,,,,,
1998-04-12T06:00:00Z,1998-04-12T00:22:19Z,,,,,,,,,
1998-04-12T07:00:00Z,1998-04-12T01:22:19Z,,,,,,,,,
1998-04-12T08:00:00Z,1998-04-12T02:22:19Z,,,,,,,,,
1998-04-12T09:00:00Z,1998-04-12T03:22:19Z,,,,,,,,,
1998-04-12T10:00:00Z,1998-04-12T04:22:19Z,,,,,NA_PRESENT,,,,
1998-04-12T11:00:00Z,1998-04-12T05:22:19Z,,,,,,,,,
1998-04-12T12:00:00Z,1998-04-12T06:22:19Z,,,,,,,,,
1998-04-12T13:00:00Z,1998-04-12T07:22:19Z,,,,,,,,,
1998-04-12T14:00:00Z,1998-04-12T08:22:19Z,,,,,,,,,
1998-04-12T15:00:00Z,1998-04-12T09:22:19Z,,,,,,,,,
1998-04-12T16:00:00Z,1998-04-12T10:22:19Z,,,,,,,,,
1998-04-12T17:00:00Z,1998-04-12T11:22:19Z,,,,,,,,,
1998-04-12T18:00:00Z,1998-04-12T12:22:19Z,,,,,,,,,
1998-04-12T19:00:00Z,1998-04-12T13:22:19Z,,,,,,,,,
1998-04-12T20:00:00Z,1998-04-12T14:22:19Z,,,,,,,,,
1998-04-12T21:00:00Z,1998-04-12T15:22:19Z,,,,,,,,,
1998-04-12T22:00:00Z,1998-04-12T16:22:19Z,,,,,,,,,
1998-04-12T23:00:00Z,1998-04-12T17:22:19Z,,,,,,,,,
1998-04-13T00:00:00Z,1998-04-12T18:22:19Z,,,,,,,,,
1998-04-13T01:00:00Z,1998-04-12T19:22:19Z,,,,,,,,,
1998-04-13T02:00:00Z,1998-04-12T20:22:19Z,,,,,,,,,
1998-04-13T03:00:00Z,1998-04-12T21:22:19Z,,,,,,,,,
1998-04-13T04:00:00Z,1998-04-12T22:22:19Z,,,,,,,,,
1998-04-13T05:00:00Z,1998-04-12T23:22:19Z,,,,,,,,,
1998-04-13T06:00:00Z,1998-04-13T00:22:34Z,,,,,,,,,
1998-04-13T07:00:00Z,1998-04-13T01:22:34Z,,,,,,,,,
1998-04-13T08:00:00Z,1998-04-13T02:22:34Z,,,,,,,,,
1998-04-13T09:00:00Z,1998-04-13T03:22:34Z,,,,,,,,,
1998-04-13T10:00:00Z,1998-04-13T04:22:34Z,,,,,,,,,
1998-04-13T11:00:00Z,1998-04-13T05:22:34Z,,,,,,,,,
1998-04-13T12:00:00Z,1998-04-13T06:22:34Z,,,,,,,,,
1998-04-13T13:00:00Z,1998-04-13T07:22:34Z,,,,,,,,,
1998-04-13T14:00:00Z,1998-04-13T08:22:34Z,,,,,,,,,
1998-04-13T15:00:00Z,1998-04-13T09:22:34Z,,,,,,,,,
1998-04-13T16:00:00Z,1998-04-13T10:22:34Z,,,,,,,,,
1998-04-13T17:00:00Z,1998-04-13T11:22:34Z,,,,,,,,,
1998-04-13T18:00:00Z,1998-04-13T12:22:34Z,,OUT_WARN,,,,,,,
1998-04-13T19:00:00Z,1998-04-13T13:22:34Z,OUT_WARN,OUT_WARN,,,,,,,
1998-04-13T20:00:00Z,1998-04-13T14:22:34Z,OUT_WARN,OUT_WARN,,,,,,,
1998-04-13T21:00:00Z,1998-04-13T15:22:34Z,OUT_WARN,OUT_WARN,,,,,,,
1998-04-13T22:00:00Z,1998-04-13T16:22:34Z,,OUT_WARN,,,,,,,
1998-04-13T23:00:00Z,1998-04-13T17:22:34Z,,,,,,,,,
1998-04-14T00:00:00Z,1998-04-13T18:22:34Z,,,,,,,,,
1998-04-14T01:00:00Z,1998-04-13T19:22:34Z,,,,,,,,,
