TIMESTAMP,solar_TIMESTAMP,AUS_BRI_BRI_Ncu_Jt_1,AUS_BRI_BRI_Ncu_Jt_2,AUS_BRI_BRI_Ncu_Jt_3,AUS_BRI_BRI_Ncu_Jt_4,AUS_BRI_BRI_Ncu_Jt_5
2009-09-13T14:29:59Z,2009-09-14T00:19:25Z,,,,,
2009-09-13T15:00:00Z,2009-09-14T00:49:26Z,,,,,
2009-09-13T15:30:00Z,2009-09-14T01:19:26Z,,,,,
2009-09-13T15:59:59Z,2009-09-14T01:49:25Z,,,,,
2009-09-13T16:30:00Z,2009-09-14T02:19:26Z,,,,,
2009-09-13T17:00:00Z,2009-09-14T02:49:26Z,,,,,
2009-09-13T17:29:59Z,2009-09-14T03:19:25Z,,,,,
2009-09-13T18:00:00Z,2009-09-14T03:49:26Z,,,,,
2009-09-13T18:30:00Z,2009-09-14T04:19:26Z,,,,,
2009-09-13T18:59:59Z,2009-09-14T04:49:25Z,,,,,
2009-09-13T19:30:00Z,2009-09-14T05:19:26Z,,,,,
2009-09-13T20:00:00Z,2009-09-14T05:49:26Z,,,,,
2009-09-13T20:29:59Z,2009-09-14T06:19:25Z,,,,,
2009-09-13T21:00:00Z,2009-09-14T06:49:26Z,,,,,
2009-09-13T21:30:00Z,2009-09-14T07:19:26Z,,,,,
2009-09-13T21:59:59Z,2009-09-14T07:49:25Z,,,,,
2009-09-13T22:30:00Z,2009-09-14T08:19:26Z,,,,,
2009-09-13T23:00:00Z,2009-09-14T08:49:26Z,,,,,
2009-09-13T23:29:59Z,2009-09-14T09:19:25Z,,,,,
2009-09-14T00:00:00Z,2009-09-14T09:49:26Z,,,,,
2009-09-14T00:30:00Z,2009-09-14T10:19:26Z,,,,,
2009-09-14T00:59:59Z,2009-09-14T10:49:25Z,,,,,
2009-09-14T01:30:00Z,2009-09-14T11:19:26Z,,,,,
2009-09-14T02:00:00Z,2009-09-14T11:49:26Z,,,,,
2009-09-14T02:29:59Z,2009-09-14T12:19:25Z,,,,,OUT_WARN
2009-09-14T03:00:00Z,2009-09-14T12:49:26Z,OUT_WARN,,,,OUT_WARN
2009-09-14T03:30:00Z,2009-09-14T13:19:26Z,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN
2009-09-14T03:59:59Z,2009-09-14T13:49:25Z,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN
2009-09-14T04:30:00Z,2009-09-14T14:19:26Z,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN
2009-09-14T05:00:00Z,2009-09-14T14:49:26Z,OUT_WARN,OUT_WARN,,,OUT_WARN
2009-09-14T05:29:59Z,2009-09-14T15:19:25Z,OUT_WARN,OUT_WARN,,,OUT_WARN
2009-09-14T06:00:00Z,2009-09-14T15:49:26Z,OUT_WARN,OUT_WARN,,,OUT_WARN
2009-09-14T06:30:00Z,2009-09-14T16:19:26Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2009-09-14T06:59:59Z,2009-09-14T16:49:25Z,,,,,
2009-09-14T07:30:00Z,2009-09-14T17:19:26Z,,,,,
2009-09-14T08:00:00Z,2009-09-14T17:49:26Z,,,,,
2009-09-14T08:29:59Z,2009-09-14T18:19:25Z,,,,,
2009-09-14T09:00:00Z,2009-09-14T18:49:26Z,,,,,
2009-09-14T09:30:00Z,2009-09-14T19:19:26Z,,,,,
2009-09-14T09:59:59Z,2009-09-14T19:49:25Z,,,,,
2009-09-14T10:30:00Z,2009-09-14T20:19:26Z,,,,,
2009-09-14T11:00:00Z,2009-09-14T20:49:26Z,,,,,
2009-09-14T11:29:59Z,2009-09-14T21:19:25Z,,,,,
