TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,ppfd_in,vpd,ext_rad
2001-01-04T17:30:00Z,2001-01-04T18:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T18:00:00Z,2001-01-04T19:05:29Z,,,,OUT_WARN,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T18:30:00Z,2001-01-04T19:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T19:00:00Z,2001-01-04T20:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T19:30:00Z,2001-01-04T20:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T20:00:00Z,2001-01-04T21:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T20:30:00Z,2001-01-04T21:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T21:00:00Z,2001-01-04T22:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T21:30:00Z,2001-01-04T22:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T22:00:00Z,2001-01-04T23:05:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T22:30:00Z,2001-01-04T23:35:29Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T23:00:00Z,2001-01-05T00:05:05Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-04T23:30:00Z,2001-01-05T00:35:05Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-05T00:00:00Z,2001-01-05T01:05:05Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-05T00:30:00Z,2001-01-05T01:35:05Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-05T01:00:00Z,2001-01-05T02:05:05Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-05T01:30:00Z,2001-01-05T02:35:05Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-05T02:00:00Z,2001-01-05T03:05:05Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-05T02:30:00Z,2001-01-05T03:35:05Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
