TIMESTAMP,solar_TIMESTAMP,GUF_GUY_ST2_Dgu_Js_1,GUF_GUY_ST2_Dgu_Js_2,GUF_GUY_ST2_Dgu_Js_3,GUF_GUY_ST2_Dgu_Js_4,GUF_GUY_ST2_Vsp_Js_5,GUF_GUY_ST2_Oas_Js_6,GUF_GUY_ST2_Oas_Js_7,GUF_GUY_ST2_Rsp_Js_8,GUF_GUY_ST2_Ssp_Js_9,GUF_GUY_ST2_Vam_Js_10,GUF_GUY_ST2_Ggl_Js_11
2008-01-04T22:00:00Z,2008-01-04T18:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T22:30:00Z,2008-01-04T18:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T23:00:00Z,2008-01-04T19:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T23:30:00Z,2008-01-04T19:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T00:00:00Z,2008-01-04T20:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T00:30:00Z,2008-01-04T20:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T01:00:00Z,2008-01-04T21:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T01:30:00Z,2008-01-04T21:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T02:00:00Z,2008-01-04T22:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T02:30:00Z,2008-01-04T22:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T03:00:00Z,2008-01-04T23:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T03:30:00Z,2008-01-04T23:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T04:00:00Z,2008-01-05T00:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T04:30:00Z,2008-01-05T00:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T05:00:00Z,2008-01-05T01:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T05:30:00Z,2008-01-05T01:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T06:00:00Z,2008-01-05T02:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T06:30:00Z,2008-01-05T02:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T07:00:00Z,2008-01-05T03:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
