TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST1_Peu_Js_1,CHN_YIN_ST1_Peu_Js_2,CHN_YIN_ST1_Peu_Js_3,CHN_YIN_ST1_Peu_Js_4,CHN_YIN_ST1_Peu_Js_5
2012-05-27T06:29:59Z,2012-05-27T12:15:03Z,,,,,
2012-05-27T06:39:59Z,2012-05-27T12:25:03Z,,,,,
2012-05-27T06:50:00Z,2012-05-27T12:35:04Z,,,,,
2012-05-27T07:00:00Z,2012-05-27T12:45:04Z,,,,,
2012-05-27T07:10:00Z,2012-05-27T12:55:04Z,,,,,
2012-05-27T07:20:00Z,2012-05-27T13:05:04Z,,,,,
2012-05-27T07:30:00Z,2012-05-27T13:15:04Z,,,,,
2012-05-27T07:40:00Z,2012-05-27T13:25:04Z,,,,,
2012-05-27T07:49:59Z,2012-05-27T13:35:03Z,,,,,
2012-05-27T07:59:59Z,2012-05-27T13:45:03Z,,,,,
2012-05-27T08:09:59Z,2012-05-27T13:55:03Z,,,,,
2012-05-27T08:20:00Z,2012-05-27T14:05:04Z,,,,,
2012-05-27T08:30:00Z,2012-05-27T14:15:04Z,,,,,
2012-05-27T08:40:00Z,2012-05-27T14:25:04Z,,,,,
2012-05-27T08:50:00Z,2012-05-27T14:35:04Z,,,,,
2012-05-27T09:00:00Z,2012-05-27T14:45:04Z,,,,,
2012-05-27T09:10:00Z,2012-05-27T14:55:04Z,,,,,
2012-05-27T09:19:59Z,2012-05-27T15:05:03Z,,,,,
2012-05-27T09:29:59Z,2012-05-27T15:15:03Z,,,,,
2012-05-27T09:39:59Z,2012-05-27T15:25:03Z,,,,,
2012-05-27T09:50:00Z,2012-05-27T15:35:04Z,,,,,
2012-05-27T10:00:00Z,2012-05-27T15:45:04Z,,,,,
2012-05-27T10:10:00Z,2012-05-27T15:55:04Z,,,,,
2012-05-27T10:20:00Z,2012-05-27T16:05:04Z,,,,,
2012-05-27T10:30:00Z,2012-05-27T16:15:04Z,,,,,
2012-05-27T10:40:00Z,2012-05-27T16:25:04Z,,,,,
2012-05-27T10:49:59Z,2012-05-27T16:35:03Z,,,,,
2012-05-27T10:59:59Z,2012-05-27T16:45:03Z,,,,,
2012-05-27T11:09:59Z,2012-05-27T16:55:03Z,,,,,
2012-05-27T11:20:00Z,2012-05-27T17:05:04Z,,,,,
2012-05-27T11:30:00Z,2012-05-27T17:15:04Z,,,,,
2012-05-27T11:40:00Z,2012-05-27T17:25:04Z,,,,,
2012-05-27T11:50:00Z,2012-05-27T17:35:04Z,,,,,
2012-05-27T12:00:00Z,2012-05-27T17:45:04Z,,,,,
2012-05-27T12:10:00Z,2012-05-27T17:55:04Z,,,,,
2012-05-27T12:19:59Z,2012-05-27T18:05:03Z,,,,,
2012-05-27T12:29:59Z,2012-05-27T18:15:03Z,,,,,
2012-05-27T12:39:59Z,2012-05-27T18:25:03Z,,,,,
2012-05-27T12:50:00Z,2012-05-27T18:35:04Z,,,,,
2012-05-27T13:00:00Z,2012-05-27T18:45:04Z,,,,,
2012-05-27T13:10:00Z,2012-05-27T18:55:04Z,,,,,
2012-05-27T13:20:00Z,2012-05-27T19:05:04Z,,,,,
2012-05-27T13:30:00Z,2012-05-27T19:15:04Z,,,,,
2012-05-27T13:40:00Z,2012-05-27T19:25:04Z,,,,,
2012-05-27T13:49:59Z,2012-05-27T19:35:03Z,,,,,
2012-05-27T13:59:59Z,2012-05-27T19:45:03Z,,,,,
2012-05-27T14:09:59Z,2012-05-27T19:55:03Z,,,,,
2012-05-27T14:20:00Z,2012-05-27T20:05:04Z,,,,,
2012-05-27T14:30:00Z,2012-05-27T20:15:04Z,,,,,
2012-05-27T14:40:00Z,2012-05-27T20:25:04Z,,,,,
2012-05-27T14:50:00Z,2012-05-27T20:35:04Z,,,,,
2012-05-27T15:00:00Z,2012-05-27T20:45:04Z,,,,,
2012-05-27T15:10:00Z,2012-05-27T20:55:04Z,,,,,
2012-05-27T15:19:59Z,2012-05-27T21:05:03Z,,,,,
2012-05-27T15:29:59Z,2012-05-27T21:15:03Z,,,,,
2012-05-27T15:39:59Z,2012-05-27T21:25:03Z,,,,,
2012-05-27T15:50:00Z,2012-05-27T21:35:04Z,,,,,
2012-05-27T16:00:00Z,2012-05-27T21:45:04Z,,,,,
2012-05-27T16:10:00Z,2012-05-27T21:55:04Z,,,,,
2012-05-27T16:20:00Z,2012-05-27T22:05:04Z,,,,,
2012-05-27T16:30:00Z,2012-05-27T22:15:04Z,,,,,
2012-05-27T16:40:00Z,2012-05-27T22:25:04Z,,,,,
2012-05-27T16:49:59Z,2012-05-27T22:35:03Z,,,,,
2012-05-27T16:59:59Z,2012-05-27T22:45:03Z,,,,,
2012-05-27T17:09:59Z,2012-05-27T22:55:03Z,,,,,
2012-05-27T17:20:00Z,2012-05-27T23:05:04Z,,,,,
2012-05-27T17:30:00Z,2012-05-27T23:15:04Z,,,,,
2012-05-27T17:40:00Z,2012-05-27T23:25:04Z,,,,,
2012-05-27T17:50:00Z,2012-05-27T23:35:04Z,,,,,
2012-05-27T18:00:00Z,2012-05-27T23:45:04Z,,,,,
2012-05-27T18:10:00Z,2012-05-27T23:55:04Z,,,,,
2012-05-27T18:19:59Z,2012-05-28T00:04:54Z,,,,,
2012-05-27T18:29:59Z,2012-05-28T00:14:54Z,,,,,
2012-05-27T18:39:59Z,2012-05-28T00:24:54Z,,,,,
2012-05-27T18:50:00Z,2012-05-28T00:34:55Z,,,,,
2012-05-27T19:00:00Z,2012-05-28T00:44:55Z,,,,,
2012-05-27T19:10:00Z,2012-05-28T00:54:55Z,,,,,
2012-05-27T19:20:00Z,2012-05-28T01:04:55Z,,,,,
2012-05-27T19:30:00Z,2012-05-28T01:14:55Z,,,,,
2012-05-27T19:40:00Z,2012-05-28T01:24:55Z,,,,,
2012-05-27T19:49:59Z,2012-05-28T01:34:54Z,,,,,
2012-05-27T19:59:59Z,2012-05-28T01:44:54Z,,,,,
2012-05-27T20:09:59Z,2012-05-28T01:54:54Z,,,,,
2012-05-27T20:20:00Z,2012-05-28T02:04:55Z,,,,,
2012-05-27T20:30:00Z,2012-05-28T02:14:55Z,,,,,
