TIMESTAMP,solar_TIMESTAMP,ESP_RIN_Qpy_Jt_1,ESP_RIN_Qpy_Jt_2,ESP_RIN_Qpy_Jt_3,ESP_RIN_Qpy_Jt_4,ESP_RIN_Qpy_Jt_5,ESP_RIN_Qpy_Jt_6,ESP_RIN_Qpy_Jt_7,ESP_RIN_Qpy_Jt_8
2007-06-09T00:00:00Z,2007-06-08T23:36:20Z,,,,,,,,
2007-06-09T01:00:00Z,2007-06-09T00:36:08Z,,,,,,,,
2007-06-09T02:00:00Z,2007-06-09T01:36:08Z,,,,,,,,
2007-06-09T03:00:00Z,2007-06-09T02:36:08Z,,,,,,,,
2007-06-09T04:00:00Z,2007-06-09T03:36:08Z,,,,,,,,
2007-06-09T05:00:00Z,2007-06-09T04:36:08Z,,,,,,,,
2007-06-09T06:00:00Z,2007-06-09T05:36:08Z,,,,,,,,
2007-06-09T07:00:00Z,2007-06-09T06:36:08Z,,,,,,,,
2007-06-09T08:00:00Z,2007-06-09T07:36:08Z,,,,,,,,
2007-06-09T09:00:00Z,2007-06-09T08:36:08Z,,,,,,,,
2007-06-09T10:00:00Z,2007-06-09T09:36:08Z,,,,,,,,
2007-06-09T11:00:00Z,2007-06-09T10:36:08Z,,,,,,,,
2007-06-09T12:00:00Z,2007-06-09T11:36:08Z,,,,,,,,
2007-06-09T13:00:00Z,2007-06-09T12:36:08Z,,,,,,,,
2007-06-09T14:00:00Z,2007-06-09T13:36:08Z,,,,,,,,
2007-06-09T15:00:00Z,2007-06-09T14:36:08Z,,,,,,,,
2007-06-09T16:00:00Z,2007-06-09T15:36:08Z,,,,,,,,
2007-06-09T17:00:00Z,2007-06-09T16:36:08Z,,,,,,,,
2007-06-09T18:00:00Z,2007-06-09T17:36:08Z,,,,,,,,
2007-06-09T19:00:00Z,2007-06-09T18:36:08Z,,,,,,,,
2007-06-09T20:00:00Z,2007-06-09T19:36:08Z,,,,,,,,
2007-06-09T21:00:00Z,2007-06-09T20:36:08Z,,,,,,,,
2007-06-09T22:00:00Z,2007-06-09T21:36:08Z,,,,,,,,
2007-06-09T23:00:00Z,2007-06-09T22:36:08Z,,,,,,,,
2007-06-10T00:00:00Z,2007-06-09T23:36:08Z,,,,,,,,
2007-06-10T01:00:00Z,2007-06-10T00:35:57Z,,,,,,,,
2007-06-10T02:00:00Z,2007-06-10T01:35:57Z,,,,,,,,
2007-06-10T03:00:00Z,2007-06-10T02:35:57Z,,,,,,,,
2007-06-10T04:00:00Z,2007-06-10T03:35:57Z,,,,,,,,
