TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,netrad,ws,precip,ext_rad
2015-03-06T04:50:00Z,2015-03-05T22:10:43Z,,,,,,,CALCULATED
2015-03-06T05:00:00Z,2015-03-05T22:20:43Z,,,,,,,CALCULATED
2015-03-06T05:10:00Z,2015-03-05T22:30:43Z,,,,,,,CALCULATED
2015-03-06T05:20:00Z,2015-03-05T22:40:43Z,,,,,,,CALCULATED
2015-03-06T05:30:00Z,2015-03-05T22:50:43Z,,,,,,,CALCULATED
2015-03-06T05:40:00Z,2015-03-05T23:00:43Z,,,,,,,CALCULATED
2015-03-06T05:50:00Z,2015-03-05T23:10:43Z,,,,,,,CALCULATED
2015-03-06T06:00:00Z,2015-03-05T23:20:43Z,,,,,,,CALCULATED
2015-03-06T06:10:00Z,2015-03-05T23:30:43Z,,,,,,,CALCULATED
2015-03-06T06:20:00Z,2015-03-05T23:40:43Z,,,,,,,CALCULATED
2015-03-06T06:30:00Z,2015-03-05T23:50:57Z,,,,,,,CALCULATED
2015-03-06T06:40:00Z,2015-03-06T00:00:57Z,,,,,,,CALCULATED
2015-03-06T06:50:00Z,2015-03-06T00:10:57Z,,,,,,,CALCULATED
2015-03-06T07:00:00Z,2015-03-06T00:20:57Z,,,,,,,CALCULATED
2015-03-06T07:10:00Z,2015-03-06T00:30:57Z,,,,,,,CALCULATED
2015-03-06T07:20:00Z,2015-03-06T00:40:57Z,,,,,,,CALCULATED
2015-03-06T07:30:00Z,2015-03-06T00:50:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T07:40:00Z,2015-03-06T01:00:57Z,,,,,,,CALCULATED
2015-03-06T07:50:00Z,2015-03-06T01:10:57Z,,,,,,,CALCULATED
2015-03-06T08:00:00Z,2015-03-06T01:20:57Z,,,,,,,CALCULATED
2015-03-06T08:10:00Z,2015-03-06T01:30:57Z,,,,,,,CALCULATED
2015-03-06T08:20:00Z,2015-03-06T01:40:57Z,,,,,,,CALCULATED
2015-03-06T08:30:00Z,2015-03-06T01:50:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T08:40:00Z,2015-03-06T02:00:57Z,,,,,,,CALCULATED
2015-03-06T08:50:00Z,2015-03-06T02:10:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T09:00:00Z,2015-03-06T02:20:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T09:10:00Z,2015-03-06T02:30:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T09:20:00Z,2015-03-06T02:40:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T09:30:00Z,2015-03-06T02:50:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T09:40:00Z,2015-03-06T03:00:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T09:50:00Z,2015-03-06T03:10:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T10:00:00Z,2015-03-06T03:20:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T10:10:00Z,2015-03-06T03:30:57Z,,,,,OUT_WARN,,CALCULATED
2015-03-06T10:20:00Z,2015-03-06T03:40:57Z,,,,,,,CALCULATED
2015-03-06T10:30:00Z,2015-03-06T03:50:57Z,,,,,,,CALCULATED
2015-03-06T10:40:00Z,2015-03-06T04:00:57Z,,,,,,,CALCULATED
2015-03-06T10:50:00Z,2015-03-06T04:10:57Z,,,,,,,CALCULATED
2015-03-06T11:00:00Z,2015-03-06T04:20:57Z,,,,,,,CALCULATED
2015-03-06T11:10:00Z,2015-03-06T04:30:57Z,,,,,,,CALCULATED
2015-03-06T11:20:00Z,2015-03-06T04:40:57Z,,,,,,,CALCULATED
2015-03-06T11:30:00Z,2015-03-06T04:50:57Z,,,,,,,CALCULATED
2015-03-06T11:40:00Z,2015-03-06T05:00:57Z,,,,,,,CALCULATED
2015-03-06T11:50:00Z,2015-03-06T05:10:57Z,,,,,,,CALCULATED
2015-03-06T12:00:00Z,2015-03-06T05:20:57Z,,,,,,,CALCULATED
2015-03-06T12:10:00Z,2015-03-06T05:30:57Z,,,,,,,CALCULATED
2015-03-06T12:20:00Z,2015-03-06T05:40:57Z,,,,,,,CALCULATED
2015-03-06T12:30:00Z,2015-03-06T05:50:57Z,,,,,,,CALCULATED
2015-03-06T12:40:00Z,2015-03-06T06:00:57Z,,,,,,,CALCULATED
2015-03-06T12:50:00Z,2015-03-06T06:10:57Z,,,,,,,CALCULATED
2015-03-06T13:00:00Z,2015-03-06T06:20:57Z,,,,,,,CALCULATED
2015-03-06T13:10:00Z,2015-03-06T06:30:57Z,,,,,,,CALCULATED
2015-03-06T13:20:00Z,2015-03-06T06:40:57Z,,,,,,,CALCULATED
2015-03-06T13:30:00Z,2015-03-06T06:50:57Z,,,,,,,CALCULATED
2015-03-06T13:40:00Z,2015-03-06T07:00:57Z,,,,,,,CALCULATED
2015-03-06T13:50:00Z,2015-03-06T07:10:57Z,,,,,,,CALCULATED
2015-03-06T14:00:00Z,2015-03-06T07:20:57Z,,,,,,,CALCULATED
2015-03-06T14:10:00Z,2015-03-06T07:30:57Z,,,,,,,CALCULATED
2015-03-06T14:20:00Z,2015-03-06T07:40:57Z,,,,,,,CALCULATED
2015-03-06T14:30:00Z,2015-03-06T07:50:57Z,,,,,,,CALCULATED
2015-03-06T14:40:00Z,2015-03-06T08:00:57Z,,,,,,,CALCULATED
2015-03-06T14:50:00Z,2015-03-06T08:10:57Z,,,,,,,CALCULATED
2015-03-06T15:00:00Z,2015-03-06T08:20:57Z,,,,,,,CALCULATED
2015-03-06T15:10:00Z,2015-03-06T08:30:57Z,,,,,,,CALCULATED
2015-03-06T15:20:00Z,2015-03-06T08:40:57Z,,,,,,,CALCULATED
2015-03-06T15:30:00Z,2015-03-06T08:50:57Z,,,,,,,CALCULATED
2015-03-06T15:40:00Z,2015-03-06T09:00:57Z,,,,,,,CALCULATED
2015-03-06T15:50:00Z,2015-03-06T09:10:57Z,,,,,,,CALCULATED
2015-03-06T16:00:00Z,2015-03-06T09:20:57Z,,,,,,,CALCULATED
2015-03-06T16:10:00Z,2015-03-06T09:30:57Z,,,,,,,CALCULATED
2015-03-06T16:20:00Z,2015-03-06T09:40:57Z,,,,,,,CALCULATED
2015-03-06T16:30:00Z,2015-03-06T09:50:57Z,,,,,,,CALCULATED
2015-03-06T16:40:00Z,2015-03-06T10:00:57Z,,,,,,,CALCULATED
2015-03-06T16:50:00Z,2015-03-06T10:10:57Z,,,,,,,CALCULATED
2015-03-06T17:00:00Z,2015-03-06T10:20:57Z,,,,,,,CALCULATED
2015-03-06T17:10:00Z,2015-03-06T10:30:57Z,,,,,,,CALCULATED
2015-03-06T17:20:00Z,2015-03-06T10:40:57Z,,,,,,,CALCULATED
2015-03-06T17:30:00Z,2015-03-06T10:50:57Z,,,,,,,CALCULATED
2015-03-06T17:40:00Z,2015-03-06T11:00:57Z,,,,,,,CALCULATED
2015-03-06T17:50:00Z,2015-03-06T11:10:57Z,,,,,,,CALCULATED
2015-03-06T18:00:00Z,2015-03-06T11:20:57Z,,,,,,,CALCULATED
2015-03-06T18:10:00Z,2015-03-06T11:30:57Z,,,,,,,CALCULATED
2015-03-06T18:20:00Z,2015-03-06T11:40:57Z,,,,,,,CALCULATED
2015-03-06T18:30:00Z,2015-03-06T11:50:57Z,,,,,,,CALCULATED
2015-03-06T18:40:00Z,2015-03-06T12:00:57Z,,,,,,,CALCULATED
2015-03-06T18:50:00Z,2015-03-06T12:10:57Z,,,,,,,CALCULATED
2015-03-06T19:00:00Z,2015-03-06T12:20:57Z,,,,,,,CALCULATED
2015-03-06T19:10:00Z,2015-03-06T12:30:57Z,,,,,,,CALCULATED
2015-03-06T19:20:00Z,2015-03-06T12:40:57Z,,,,,,,CALCULATED
2015-03-06T19:30:00Z,2015-03-06T12:50:57Z,,,,,,,CALCULATED
2015-03-06T19:40:00Z,2015-03-06T13:00:57Z,,,,,,,CALCULATED
2015-03-06T19:50:00Z,2015-03-06T13:10:57Z,,,,,,,CALCULATED
2015-03-06T20:00:00Z,2015-03-06T13:20:57Z,,,,,,,CALCULATED
2015-03-06T20:10:00Z,2015-03-06T13:30:57Z,,,,,,,CALCULATED
2015-03-06T20:20:00Z,2015-03-06T13:40:57Z,,,,,,,CALCULATED
2015-03-06T20:30:00Z,2015-03-06T13:50:57Z,,,,,,,CALCULATED
2015-03-06T20:40:00Z,2015-03-06T14:00:57Z,,,,,,,CALCULATED
2015-03-06T20:50:00Z,2015-03-06T14:10:57Z,,,,,,,CALCULATED
2015-03-06T21:00:00Z,2015-03-06T14:20:57Z,,,,,,,CALCULATED
2015-03-06T21:10:00Z,2015-03-06T14:30:57Z,,,,,,,CALCULATED
2015-03-06T21:20:00Z,2015-03-06T14:40:57Z,,,,,,,CALCULATED
2015-03-06T21:30:00Z,2015-03-06T14:50:57Z,,,,,,,CALCULATED
2015-03-06T21:40:00Z,2015-03-06T15:00:57Z,,,,,,,CALCULATED
2015-03-06T21:50:00Z,2015-03-06T15:10:57Z,,,,,,,CALCULATED
2015-03-06T22:00:00Z,2015-03-06T15:20:57Z,,,,,,,CALCULATED
2015-03-06T22:10:00Z,2015-03-06T15:30:57Z,,,,,,,CALCULATED
2015-03-06T22:20:00Z,2015-03-06T15:40:57Z,,,,,,,CALCULATED
2015-03-06T22:30:00Z,2015-03-06T15:50:57Z,,,,,,,CALCULATED
2015-03-06T22:40:00Z,2015-03-06T16:00:57Z,,,,,,,CALCULATED
2015-03-06T22:50:00Z,2015-03-06T16:10:57Z,,,,,,,CALCULATED
2015-03-06T23:00:00Z,2015-03-06T16:20:57Z,,,,,,,CALCULATED
2015-03-06T23:10:00Z,2015-03-06T16:30:57Z,,,,,,,CALCULATED
2015-03-06T23:20:00Z,2015-03-06T16:40:57Z,,,,,,,CALCULATED
2015-03-06T23:30:00Z,2015-03-06T16:50:57Z,,,,,,,CALCULATED
2015-03-06T23:40:00Z,2015-03-06T17:00:57Z,,,,,,,CALCULATED
