TIMESTAMP,solar_TIMESTAMP,SWE_SKO_MIN_Pab_Jt_1,SWE_SKO_MIN_Pab_Jt_2,SWE_SKO_MIN_Pab_Jt_3,SWE_SKO_MIN_Pab_Jt_4,SWE_SKO_MIN_Pab_Jt_5,SWE_SKO_MIN_Pab_Jt_6,SWE_SKO_MIN_Pab_Jt_7,SWE_SKO_MIN_Pab_Jt_8,SWE_SKO_MIN_Pab_Jt_9,SWE_SKO_MIN_Pab_Jt_10,SWE_SKO_MIN_Pab_Jt_11
2015-01-03T16:30:00Z,2015-01-03T17:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T17:00:00Z,2015-01-03T17:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T17:30:00Z,2015-01-03T18:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T18:00:00Z,2015-01-03T18:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T18:30:00Z,2015-01-03T19:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T19:00:00Z,2015-01-03T19:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T19:30:00Z,2015-01-03T20:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T20:00:00Z,2015-01-03T20:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T20:30:00Z,2015-01-03T21:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T21:00:00Z,2015-01-03T21:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T21:30:00Z,2015-01-03T22:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T22:00:00Z,2015-01-03T22:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T22:30:00Z,2015-01-03T23:13:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T23:00:00Z,2015-01-03T23:43:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-03T23:30:00Z,2015-01-04T00:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T00:00:00Z,2015-01-04T00:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T00:30:00Z,2015-01-04T01:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T01:00:00Z,2015-01-04T01:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T01:30:00Z,2015-01-04T02:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T02:00:00Z,2015-01-04T02:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T02:30:00Z,2015-01-04T03:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T03:00:00Z,2015-01-04T03:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T03:30:00Z,2015-01-04T04:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T04:00:00Z,2015-01-04T04:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T04:30:00Z,2015-01-04T05:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T05:00:00Z,2015-01-04T05:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T05:30:00Z,2015-01-04T06:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T06:00:00Z,2015-01-04T06:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T06:30:00Z,2015-01-04T07:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T07:00:00Z,2015-01-04T07:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T07:30:00Z,2015-01-04T08:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T08:00:00Z,2015-01-04T08:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T08:30:00Z,2015-01-04T09:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T09:00:00Z,2015-01-04T09:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T09:30:00Z,2015-01-04T10:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T10:00:00Z,2015-01-04T10:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T10:30:00Z,2015-01-04T11:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T11:00:00Z,2015-01-04T11:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T11:30:00Z,2015-01-04T12:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T12:00:00Z,2015-01-04T12:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T12:30:00Z,2015-01-04T13:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T13:00:00Z,2015-01-04T13:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T13:30:00Z,2015-01-04T14:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T14:00:00Z,2015-01-04T14:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T14:30:00Z,2015-01-04T15:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T15:00:00Z,2015-01-04T15:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T15:30:00Z,2015-01-04T16:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T16:00:00Z,2015-01-04T16:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T16:30:00Z,2015-01-04T17:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T17:00:00Z,2015-01-04T17:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T17:30:00Z,2015-01-04T18:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T18:00:00Z,2015-01-04T18:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T18:30:00Z,2015-01-04T19:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T19:00:00Z,2015-01-04T19:42:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-04T19:30:00Z,2015-01-04T20:12:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
