TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ppfd_in,precip,swc_shallow,rh,ext_rad
2001-04-20T14:30:00Z,2001-04-20T14:16:02Z,,,OUT_WARN,OUT_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T15:00:00Z,2001-04-20T14:46:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T15:30:00Z,2001-04-20T15:16:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T16:00:00Z,2001-04-20T15:46:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T16:30:00Z,2001-04-20T16:16:02Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-20T17:00:00Z,2001-04-20T16:46:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T17:30:00Z,2001-04-20T17:16:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T18:00:00Z,2001-04-20T17:46:02Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T18:30:00Z,2001-04-20T18:16:02Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T19:00:00Z,2001-04-20T18:46:02Z,,,,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T19:30:00Z,2001-04-20T19:16:02Z,,,,,,,CALCULATED,CALCULATED
2001-04-20T20:00:00Z,2001-04-20T19:46:02Z,,,,RANGE_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T20:30:00Z,2001-04-20T20:16:02Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-20T21:00:00Z,2001-04-20T20:46:02Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-20T21:30:00Z,2001-04-20T21:16:02Z,,,RANGE_WARN,RANGE_WARN,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T22:00:00Z,2001-04-20T21:46:02Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-20T22:30:00Z,2001-04-20T22:16:02Z,,,RANGE_WARN,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T23:00:00Z,2001-04-20T22:46:02Z,,,RANGE_WARN,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-20T23:30:00Z,2001-04-20T23:16:02Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-21T00:00:00Z,2001-04-20T23:46:02Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-21T00:30:00Z,2001-04-21T00:16:13Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-21T01:00:00Z,2001-04-21T00:46:13Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-21T01:30:00Z,2001-04-21T01:16:13Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-21T02:00:00Z,2001-04-21T01:46:13Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-21T02:30:00Z,2001-04-21T02:16:13Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-21T03:00:00Z,2001-04-21T02:46:13Z,,,RANGE_WARN,,OUT_WARN,,CALCULATED,CALCULATED
2001-04-21T03:30:00Z,2001-04-21T03:16:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T04:00:00Z,2001-04-21T03:46:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T04:30:00Z,2001-04-21T04:16:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T05:00:00Z,2001-04-21T04:46:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T05:30:00Z,2001-04-21T05:16:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T06:00:00Z,2001-04-21T05:46:13Z,,,,,,,CALCULATED,CALCULATED
2001-04-21T06:30:00Z,2001-04-21T06:16:13Z,,,,,,,CALCULATED,CALCULATED
